codUsuario,contrasena,primerNombre,segundoNombre ,apellidoPaterno ,apellidoMaterno ,fechaNacimiento,correoUsuario,telefono
1,sR03}hUy,Barth,Ezmeralda,Garstang,Senecaux,03/22/2003,esenecaux0@washington.edu,955223371
2,tJ38/>5E),Kingston,Elliott,Boyat,Somes,02/14/2002,esomes1@icio.us,999469430
3,"kD85\A_,>7?",Julianna,Levy,Antonat,Rottcher,09/23/2000,lrottcher2@tiny.cc,941095511
4,xM14\9X*H3,Carlotta,Min,Moynham,Boulton,12/05/2001,mboulton3@huffingtonpost.com,992115843
5,cG30)smg&,Chrissy,Rosamund,Furphy,Hughes,05/25/2001,rhughes4@uol.com.br,974550524
6,kW65?&|R,Sergei,Franchot,Vitall,Stalley,08/24/2001,fstalley5@columbia.edu,915788595
7,"qD61""2*Jv3Oj5",Catherina,Marchelle,Menendes,Castelyn,09/04/2001,mcastelyn6@wp.com,928718558
8,kP73+%2Re,Colette,Cyrus,Reddish,Belchamp,07/08/2000,cbelchamp7@netvibes.com,980002346
9,"iT53~v""",Denni,Oran,Barthropp,Chiverstone,08/30/2002,ochiverstone8@xrea.com,990716513
10,mH57#CE_>t4gkn,Hilario,Jacquetta,Yakuntsov,Bertolaccini,10/12/2000,jbertolaccini9@wikipedia.org,916574724
11,lC62|rA,Lianna,Stanwood,Doidge,Nockells,12/21/2001,snockellsa@virginia.edu,938686539
12,kF83!5$je~8y3.,Kane,Elga,Zylbermann,Pole,01/01/2002,epoleb@wikipedia.org,951054724
13,xE04/>jx'Ay,Dar,Anthony,Guerrero,Carlens,02/05/2001,acarlensc@chronoengine.com,956528003
14,mF16`'3b,Clywd,Care,Murdy,Dungay,04/10/2001,cdungayd@timesonline.co.uk,954574945
15,qV59\sAv&nJY,Sibilla,Claudie,Davison,Tuckley,06/09/2002,ctuckleye@paypal.com,943317380
16,gG66$&G6d(K,Gaylene,Dana,Jorge,Mc Meekan,09/14/2001,dmcmeekanf@merriam-webster.com,946347540
17,"oH97""OK69",Mar,Diena,Dendon,Allsobrook,05/25/2002,dallsobrookg@liveinternet.ru,968168689
18,"rE85*,G>7z",Gillan,Madelene,Dorney,Ogan,03/17/2001,moganh@sciencedaily.com,979654425
19,aV13%*`uS?shVJ,Lotty,Batholomew,Taylorson,Saile,12/18/2002,bsailei@chicagotribune.com,986191980
20,"tK84""$x",Glenda,Vic,Duligall,McCooke,08/17/2000,vmccookej@instagram.com,983625958
21,aI34%`r=lN,Marian,Lorri,Esilmon,Hing,02/16/2001,lhingk@addthis.com,958724834
22,gN77{UQ,Patsy,Sandy,Balcock,Bassill,06/27/2003,sbassilll@oracle.com,978258086
23,mO87<lbrgHU@*,Hyacinthie,Isacco,Chatres,Hamil,03/24/2001,ihamilm@wordpress.com,970562906
24,yQ13}/8/1m<,Harmonie,Lauree,Pillington,Mablestone,07/05/2002,lmablestonen@cyberchimps.com,977187605
25,hJ69|Gx,Calley,Berte,Duigan,Andrieux,03/05/2003,bandrieuxo@netvibes.com,962613274
26,hJ95=3vp,Rabi,Lawton,Gammill,Yarnell,02/12/2001,lyarnellp@weather.com,959923514
27,yS48@*AM,Rozina,Thorndike,MacArthur,Curcher,06/30/2002,tcurcherq@skyrock.com,905653459
28,wX61?p7g>svet#,Thurstan,Mareah,Elgee,Walworth,05/23/2001,mwalworthr@mayoclinic.com,933607192
29,bQ35}nB,Valentijn,Yancy,Westoll,Dumbelton,10/09/2002,ydumbeltons@geocities.com,973978244
30,cF59>n5PwL_f4R,Calley,Ravi,Daltry,Fooks,01/24/2003,rfookst@cornell.edu,934831149
31,"nQ76&$I|1""",Bibbie,Keary,Merry,Tookey,02/17/2003,ktookeyu@sina.com.cn,909560243
32,"qX08#4F""GBP?",Cloris,Lothario,Figura,Danis,03/03/2003,ldanisv@oracle.com,917435905
33,rQ38.m9WB,Flori,Boy,Happert,Wickenden,08/03/2000,bwickendenw@loc.gov,957626317
34,dN08}A/,Starla,Paquito,Wellbelove,Dadswell,09/30/2000,pdadswellx@cyberchimps.com,994857279
35,fM04!'_,Halimeda,Raymond,Kondratyuk,Sher,11/10/2000,rshery@icq.com,956408915
36,mZ43|%T,Amandy,Adore,McKeevers,Smuth,05/11/2002,asmuthz@jugem.jp,901493812
37,qJ83&W'n,Griswold,Lynelle,Hardwell,Ivanenko,01/08/2002,livanenko10@hostgator.com,902686321
38,cV35<2(u,Claybourne,Karil,Jura,Tolefree,04/18/2002,ktolefree11@drupal.org,912024202
39,gV74{bxs,Bertram,Timmie,Ilieve,Petri,05/26/2003,tpetri12@dion.ne.jp,922884814
40,yP07_NbmT1@h,Kori,Lyman,McHardy,McGlade,05/31/2001,lmcglade13@cornell.edu,997335366
41,"nZ97@kjv""oO8\p",Olly,Astrix,Duligal,Stook,10/31/2001,astook14@tripadvisor.com,912290679
42,rU20*y32(,Cairistiona,Willy,Hackey,Byneth,06/01/2003,wbyneth15@earthlink.net,951708613
43,xU42@%K8e,Sherwynd,Bone,Karlsen,Matthews,11/27/2002,bmatthews16@scribd.com,984961318
44,tL85>\5,Ermengarde,Laryssa,Bruntje,Treacy,06/30/2002,ltreacy17@buzzfeed.com,992812365
45,lR22}i|'/,Jacobo,Sallie,Bezarra,Antonutti,10/23/2002,santonutti18@e-recht24.de,955943534
46,"lE14""&X",Deirdre,Nelle,Gyer,De Minico,04/22/2002,ndeminico19@altervista.org,949219705
47,mD99)_Z,Bernete,Ernaline,Semarke,Casse,03/21/2003,ecasse1a@zdnet.com,929087887
48,oX02<!_sY9,Brady,Adelheid,Liddon,Yakobowitch,10/04/2001,ayakobowitch1b@comcast.net,928843775
49,hR70#@D!rpB8,Gae,Terrill,MacCombe,Clohessy,02/05/2001,tclohessy1c@intel.com,936682817
50,kN42.ujC5+KO<m,Ellyn,Jabez,Honnicott,Mabb,06/10/2001,jmabb1d@networksolutions.com,999891355
51,xY95|tb,Estrellita,Otha,Bunstone,Calcut,08/17/2001,ocalcut1e@ibm.com,967465078
